callsign,de_pfx,de_cont,freq,band,dx,dx_pfx,dx_cont,mode,db,date,speed,tx_mode
TF3Y,TF,EU,7037.2,40m,S59L,S5,EU,CQ,8,2025-11-29 00:00:00,30,CW
TF3Y,TF,EU,7030.3,40m,M6T,G,EU,CQ,10,2025-11-29 00:00:00,36,CW
K9IMM,K,NA,7027,40m,DK9PY,DL,EU,CQ,24,2025-11-29 00:00:00,32,CW
K9IMM,K,NA,7014.7,40m,II1X,I,EU,CQ,23,2025-11-29 00:00:00,38,CW
K9IMM,K,NA,7022.5,40m,OK1Z,OK,EU,CQ,14,2025-11-29 00:00:00,35,CW
K9IMM,K,NA,7050.4,40m,UA7K,UA,EU,CQ,27,2025-11-29 00:00:00,39,CW
K9IMM,K,NA,7034.7,40m,KP2M,KP2,NA,CQ,21,2025-11-29 00:00:00,39,CW
N8DXE,K,NA,7032,40m,9A2L,9A,EU,CQ,33,2025-11-29 00:00:00,30,CW
N8DXE,K,NA,7019,40m,RM4F,UA,EU,CQ,17,2025-11-29 00:00:00,33,CW
W3RGA,K,NA,7055.7,40m,CQ9A,CT3,AF,CQ,34,2025-11-29 00:00:00,37,CW
W3RGA,K,NA,7032,40m,9A2L,9A,EU,CQ,28,2025-11-29 00:00:00,31,CW
IK7YTT,I,EU,7003.3,40m,BG0DLA,BY,AS,CQ,17,2025-11-29 00:00:00,29,CW
IK7YTT,I,EU,7055.7,40m,CQ9A,CT3,AF,CQ,17,2025-11-29 00:00:00,38,CW
IK7YTT,I,EU,7056.5,40m,UP4L,UN,AS,CQ,21,2025-11-29 00:00:00,30,CW
IK7YTT,I,EU,7002,40m,AA4NC,K,NA,CQ,9,2025-11-29 00:00:00,38,CW
KM3T-2,K,NA,7027,40m,DK9PY,DL,EU,CQ,22,2025-11-29 00:00:00,33,CW
KM3T-2,K,NA,7014.7,40m,II1X,I,EU,CQ,24,2025-11-29 00:00:00,37,CW
KM3T-2,K,NA,7055.7,40m,CQ9A,CT3,AF,CQ,14,2025-11-29 00:00:00,40,CW
KM3T-2,K,NA,7022.5,40m,OK1Z,OK,EU,CQ,13,2025-11-29 00:00:00,35,CW
KM3T-2,K,NA,7036.8,40m,YT4T,YU,EU,CQ,7,2025-11-29 00:00:00,28,CW
KM3T-2,K,NA,7034.7,40m,KP2M,KP2,NA,CQ,23,2025-11-29 00:00:00,39,CW
BG0AJO,BY,AS,7011.2,40m,S52AW,S5,EU,CQ,7,2025-11-29 00:00:00,37,CW
BG0AJO,BY,AS,7056.5,40m,UP4L,UN,AS,CQ,14,2025-11-29 00:00:00,29,CW
F4GOU,F,EU,7036.5,40m,IB9R,IT9,EU,CQ,15,2025-11-29 00:00:00,32,CW
F4GOU,F,EU,7009.3,40m,NR4M,K,NA,CQ,33,2025-11-29 00:00:00,36,CW
F4GOU,F,EU,7026.2,40m,IU8RIA,I,EU,CQ,11,2025-11-29 00:00:00,30,CW
KD2OGR,K,NA,7027,40m,DK9PY,DL,EU,CQ,17,2025-11-29 00:00:00,33,CW
KD2OGR,K,NA,7010.1,40m,RU1A,UA,EU,CQ,14,2025-11-29 00:00:00,37,CW
KD2OGR,K,NA,7014.7,40m,II1X,I,EU,CQ,12,2025-11-29 00:00:00,36,CW
G0KTN,G,EU,7009.3,40m,NR4M,K,NA,CQ,21,2025-11-29 00:00:00,35,CW
G0KTN,G,EU,7055.7,40m,CQ9A,CT3,AF,CQ,12,2025-11-29 00:00:00,41,CW
G0KTN,G,EU,7001.8,40m,RW4W,UA,EU,CQ,8,2025-11-29 00:00:00,34,CW
W8WWV,K,NA,7014.7,40m,II1X,I,EU,CQ,26,2025-11-29 00:00:00,37,CW
W8WWV,K,NA,7000.5,40m,YT5W,YU,EU,CQ,7,2025-11-29 00:00:00,32,CW
W8WWV,K,NA,7055.7,40m,CQ9A,CT3,AF,CQ,25,2025-11-29 00:00:00,41,CW
W8WWV,K,NA,7060.1,40m,T70A,T7,EU,CQ,18,2025-11-29 00:00:00,38,CW
K5TR,K,NA,7049.4,40m,N3RS,K,NA,CQ,29,2025-11-29 00:00:00,32,CW
DK9IP-1,DL,EU,7055.7,40m,CQ9A,CT3,AF,CQ,18,2025-11-29 00:00:01,42,CW
DK9IP-1,DL,EU,7010,40m,AI5IN,K,NA,CQ,8,2025-11-29 00:00:01,28,CW
G4ZFE,G,EU,7033.1,40m,RL3A,UA,EU,CQ,21,2025-11-29 00:00:01,37,CW
G4ZFE,G,EU,7046,40m,P3CR,5B,AS,CQ,13,2025-11-29 00:00:01,33,CW
G4ZFE,G,EU,7034.7,40m,KP2M,KP2,NA,CQ,29,2025-11-29 00:00:01,38,CW
JN1ILK,JA,AS,7030.6,40m,E7/DJ4MX,E7,EU,CQ,18,2025-11-29 00:00:01,39,CW
JN1ILK,JA,AS,7006,40m,IK2PFL,I,EU,CQ,12,2025-11-29 00:00:01,32,CW
W3DAN,K,NA,7032,40m,9A2L,9A,EU,CQ,34,2025-11-29 00:00:01,28,CW
W3DAN,K,NA,7029.7,40m,II9P,IT9,EU,CQ,55,2025-11-29 00:00:01,36,CW
SP5GQ,SP,EU,7055.7,40m,CQ9A,CT3,AF,CQ,10,2025-11-29 00:00:01,41,CW
YO2KAR,YO,EU,7055.7,40m,CQ9A,CT3,AF,CQ,30,2025-11-29 00:00:01,43,CW
YO2KAR,YO,EU,7056.5,40m,UP4L,UN,AS,CQ,23,2025-11-29 00:00:01,30,CW
HA6PX,HA,EU,7055.7,40m,CQ9A,CT3,AF,CQ,30,2025-11-29 00:00:01,37,CW
AC0C-1,K,NA,7014.9,40m,YT9X,YU,EU,CQ,9,2025-11-29 00:00:01,35,CW
AC0C-1,K,NA,7014.7,40m,II1X,I,EU,CQ,19,2025-11-29 00:00:01,33,CW
AC0C-1,K,NA,7055.7,40m,CQ9A,CT3,AF,CQ,24,2025-11-29 00:00:01,37,CW
AC0C-1,K,NA,7034.7,40m,KP2M,KP2,NA,CQ,28,2025-11-29 00:00:01,37,CW
F6KOP,F,EU,7018.4,40m,RC6U,UA,EU,CQ,28,2025-11-29 00:00:01,39,CW
F6KOP,F,EU,7005.2,40m,KB3WD,K,NA,CQ,23,2025-11-29 00:00:01,34,CW
F6KOP,F,EU,7007.7,40m,UA4M,UA,EU,CQ,25,2025-11-29 00:00:01,33,CW
F6KOP,F,EU,7008.8,40m,KC1XX,K,NA,CQ,29,2025-11-29 00:00:01,33,CW
F6KOP,F,EU,7049.6,40m,N3RS,K,NA,CQ,11,2025-11-29 00:00:01,30,CW
K9LC,K,NA,7018,40m,PW2K,PY,SA,CQ,29,2025-11-29 00:00:01,32,CW
K9LC,K,NA,7014.7,40m,II1X,I,EU,CQ,26,2025-11-29 00:00:01,37,CW
K9LC,K,NA,7055.7,40m,CQ9A,CT3,AF,CQ,25,2025-11-29 00:00:01,42,CW
K9LC,K,NA,7022.5,40m,OK1Z,OK,EU,CQ,15,2025-11-29 00:00:01,33,CW
K9LC,K,NA,7034.8,40m,KP2M,KP2,NA,CQ,33,2025-11-29 00:00:01,38,CW
S53A,S5,EU,7009.3,40m,NR4M,K,NA,CQ,27,2025-11-29 00:00:01,35,CW
S53A,S5,EU,7028.9,40m,DL4MMD,DL,EU,CQ,23,2025-11-29 00:00:01,28,CW
S53A,S5,EU,7056.5,40m,UP4L,UN,AS,CQ,46,2025-11-29 00:00:01,29,CW
MM0GPZ,GM,EU,7045.9,40m,P3CR,5B,AS,CQ,18,2025-11-29 00:00:01,33,CW
MM0GPZ,GM,EU,7034.7,40m,KP2M,KP2,NA,CQ,24,2025-11-29 00:00:01,38,CW
MM0GPZ,GM,EU,7001.8,40m,RW4W,UA,EU,CQ,10,2025-11-29 00:00:01,33,CW
MM0ZBH,GM,EU,7056.5,40m,UP4L,UN,AS,CQ,26,2025-11-29 00:00:01,29,CW
MM0ZBH,GM,EU,7046,40m,P3CR,5B,AS,CQ,27,2025-11-29 00:00:01,33,CW
MM0ZBH,GM,EU,7031,40m,HA8TA,HA,EU,CQ,23,2025-11-29 00:00:01,35,CW
OH6BG,OH,EU,7039.4,40m,LY5R,LY,EU,CQ,4,2025-11-29 00:00:01,32,CW
W3LPL,K,NA,7005.6,40m,9A7A,9A,EU,CQ,27,2025-11-29 00:00:01,27,CW
W3LPL,K,NA,7036.5,40m,IB9R,IT9,EU,CQ,20,2025-11-29 00:00:01,32,CW
W3LPL,K,NA,7008.2,40m,AB3CX,K,NA,CQ,17,2025-11-29 00:00:01,30,CW
W3LPL,K,NA,7008.6,40m,KC1XX,K,NA,CQ,26,2025-11-29 00:00:01,33,CW
W3LPL,K,NA,7032.8,40m,ED1R,EA,EU,CQ,23,2025-11-29 00:00:01,36,CW
W3LPL,K,NA,7011.2,40m,S52AW,S5,EU,CQ,26,2025-11-29 00:00:01,37,CW
W3LPL,K,NA,7015.2,40m,9A4M,9A,EU,CQ,23,2025-11-29 00:00:01,38,CW
W3LPL,K,NA,7043,40m,W4NF,K,NA,CQ,9,2025-11-29 00:00:01,34,CW
W3LPL,K,NA,7014.7,40m,II1X,I,EU,CQ,18,2025-11-29 00:00:01,35,CW
W3LPL,K,NA,7049.3,40m,N3RS,K,NA,CQ,7,2025-11-29 00:00:01,32,CW
LZ5DI,LZ,EU,7009.3,40m,NR4M,K,NA,CQ,17,2025-11-29 00:00:01,36,CW
LZ5DI,LZ,EU,7056.5,40m,UP4L,UN,AS,CQ,27,2025-11-29 00:00:01,29,CW
YU1EW,YU,EU,7055.6,40m,CQ9A,CT3,AF,CQ,16,2025-11-29 00:00:01,43,CW
DK0TE,DL,EU,7056.5,40m,UP4L,UN,AS,CQ,23,2025-11-29 00:00:01,30,CW
DK0TE,DL,EU,7001.8,40m,RW4W,UA,EU,CQ,13,2025-11-29 00:00:01,35,CW
WZ7I,K,NA,7047.4,40m,K4ZW,K,NA,CQ,46,2025-11-29 00:00:01,29,CW
WZ7I,K,NA,7018.2,40m,RC6U,UA,EU,CQ,18,2025-11-29 00:00:01,39,CW
WZ7I,K,NA,7027,40m,DK9PY,DL,EU,CQ,35,2025-11-29 00:00:01,32,CW
WZ7I,K,NA,7014,40m,IS0AFM,IS,EU,CQ,12,2025-11-29 00:00:01,32,CW
WZ7I,K,NA,7014.7,40m,II1X,I,EU,CQ,22,2025-11-29 00:00:01,35,CW
WZ7I,K,NA,7055.7,40m,CQ9A,CT3,AF,CQ,25,2025-11-29 00:00:01,36,CW
WZ7I,K,NA,7022.5,40m,OK1Z,OK,EU,CQ,26,2025-11-29 00:00:01,34,CW
K1RA,K,NA,7024.5,40m,KB4DX,K,NA,CQ,46,2025-11-29 00:00:01,31,CW
K1RA,K,NA,7022.5,40m,OK1Z,OK,EU,CQ,29,2025-11-29 00:00:01,30,CW
K1RA,K,NA,7049.4,40m,N3RS,K,NA,CQ,26,2025-11-29 00:00:01,31,CW
HA8TKS,HA,EU,7034.7,40m,KP2M,KP2,NA,CQ,22,2025-11-29 00:00:01,38,CW
HB9DCO,HB,EU,7003.3,40m,BG0DLA,BY,AS,CQ,13,2025-11-29 00:00:01,30,CW
HB9DCO,HB,EU,7055.7,40m,CQ9A,CT3,AF,CQ,20,2025-11-29 00:00:01,36,CW
HB9DCO,HB,EU,7056.5,40m,UP4L,UN,AS,CQ,21,2025-11-29 00:00:01,30,CW
HB9DCO,HB,EU,7046,40m,P3CR,5B,AS,CQ,9,2025-11-29 00:00:01,33,CW
HB9DCO,HB,EU,7034.7,40m,KP2M,KP2,NA,CQ,29,2025-11-29 00:00:01,38,CW
TK0C-3,TK,EU,7033.1,40m,RL3A,UA,EU,CQ,36,2025-11-29 00:00:02,33,CW
TK0C-3,TK,EU,7055.7,40m,CQ9A,CT3,AF,CQ,14,2025-11-29 00:00:02,42,CW
TK0C-3,TK,EU,7030.3,40m,M6T,G,EU,CQ,13,2025-11-29 00:00:02,38,CW
TK0C-3,TK,EU,7021.7,40m,N3RD,K,NA,CQ,16,2025-11-29 00:00:02,28,CW
TK0C-3,TK,EU,7050.4,40m,UA7K,UA,EU,CQ,38,2025-11-29 00:00:02,37,CW
EA2RCF-4,EA,EU,7006,40m,IK2PFL,I,EU,CQ,6,2025-11-29 00:00:02,31,CW
EA2RCF-4,EA,EU,7016.2,40m,OE175ARWT,OE,EU,CQ,21,2025-11-29 00:00:02,20,CW
E28AC,HS,AS,7056.5,40m,UP4L,UN,AS,CQ,11,2025-11-29 00:00:02,30,CW
E28AC,HS,AS,7022.5,40m,OK1Z,OK,EU,CQ,9,2025-11-29 00:00:02,34,CW
E28AC,HS,AS,7055.7,40m,CQ9A,CT3,AF,CQ,13,2025-11-29 00:00:02,39,CW
DL5RMH,DL,EU,7056.5,40m,UP4L,UN,AS,CQ,16,2025-11-29 00:00:02,30,CW
DL5RMH,DL,EU,7055.7,40m,CQ9A,CT3,AF,CQ,14,2025-11-29 00:00:02,41,CW
DL5RMH,DL,EU,7021.7,40m,N3RD,K,NA,CQ,14,2025-11-29 00:00:02,29,CW
SE5E,SM,EU,7056.5,40m,UP4L,UN,AS,CQ,30,2025-11-29 00:00:02,30,CW
DM5GG,DL,EU,7055.7,40m,CQ9A,CT3,AF,CQ,21,2025-11-29 00:00:02,43,CW
DM5GG,DL,EU,7046,40m,P3CR,5B,AS,CQ,5,2025-11-29 00:00:02,33,CW
DM5GG,DL,EU,7034.7,40m,KP2M,KP2,NA,CQ,21,2025-11-29 00:00:02,38,CW
SZ1A,SV,EU,7056.5,40m,UP4L,UN,AS,CQ,33,2025-11-29 00:00:02,29,CW
SZ1A,SV,EU,7014.7,40m,II1X,I,EU,CQ,15,2025-11-29 00:00:02,38,CW
SZ1A,SV,EU,7050.4,40m,UA7K,UA,EU,CQ,23,2025-11-29 00:00:02,40,CW
CT1EYQ,CT,EU,7056.5,40m,UP4L,UN,AS,CQ,14,2025-11-29 00:00:02,30,CW
CT1EYQ,CT,EU,7034.7,40m,KP2M,KP2,NA,CQ,31,2025-11-29 00:00:02,38,CW
IK4VET,I,EU,7055.7,40m,CQ9A,CT3,AF,CQ,21,2025-11-29 00:00:02,37,CW
IK4VET,I,EU,7056.5,40m,UP4L,UN,AS,CQ,21,2025-11-29 00:00:02,30,CW
KV4TT,K,NA,7049.4,40m,N3RS,K,NA,CQ,34,2025-11-29 00:00:02,31,CW
KV4TT,K,NA,7055.7,40m,CQ9A,CT3,AF,CQ,30,2025-11-29 00:00:02,42,CW
KV4TT,K,NA,7022.5,40m,OK1Z,OK,EU,CQ,23,2025-11-29 00:00:02,35,CW
K4PP,K,NA,7013.5,40m,EF8R,EA8,AF,CQ,34,2025-11-29 00:00:02,37,CW
K4PP,K,NA,7022.5,40m,OK1Z,OK,EU,CQ,17,2025-11-29 00:00:02,35,CW
K4PP,K,NA,7032,40m,9A2L,9A,EU,CQ,15,2025-11-29 00:00:02,31,CW
K4PP,K,NA,7014.7,40m,II1X,I,EU,CQ,21,2025-11-29 00:00:02,36,CW
LZ7AA,LZ,EU,7002,40m,AA4NC,K,NA,CQ,5,2025-11-29 00:00:02,36,CW
DR4W,DL,EU,7021.7,40m,N3RD,K,NA,CQ,23,2025-11-29 00:00:03,29,CW
DR4W,DL,EU,7045.9,40m,P3CR,5B,AS,CQ,24,2025-11-29 00:00:03,34,CW
DR4W,DL,EU,7024.5,40m,KB4DX,K,NA,CQ,24,2025-11-29 00:00:03,28,CW
N6TV,K,NA,7050.9,40m,N4HB,K,NA,CQ,17,2025-11-29 00:00:03,27,CW
HG8A,HA,EU,7055.7,40m,CQ9A,CT3,AF,CQ,23,2025-11-29 00:00:03,36,CW
HG8A,HA,EU,7045.9,40m,P3CR,5B,AS,CQ,15,2025-11-29 00:00:03,33,CW
HG8A,HA,EU,7034.7,40m,KP2M,KP2,NA,CQ,28,2025-11-29 00:00:03,39,CW
VE6JY,VE,NA,7009.3,40m,NR4M,K,NA,CQ,26,2025-11-29 00:00:03,34,CW
VE6JY,VE,NA,7034.8,40m,KP2M,KP2,NA,CQ,26,2025-11-29 00:00:03,39,CW
WA7LNW,K,NA,7029.7,40m,II9P,IT9,EU,CQ,24,2025-11-29 00:00:03,35,CW
NU4F-2,K,NA,7036.5,40m,IB9R,IT9,EU,CQ,13,2025-11-29 00:00:03,32,CW
NU4F-2,K,NA,7055.7,40m,CQ9A,CT3,AF,CQ,24,2025-11-29 00:00:03,40,CW
NU4F-2,K,NA,7022.5,40m,OK1Z,OK,EU,CQ,21,2025-11-29 00:00:03,34,CW
NU4F-2,K,NA,7014.7,40m,II1X,I,EU,CQ,23,2025-11-29 00:00:03,37,CW
GX0FRE,G,EU,7014.7,40m,II1X,I,EU,CQ,14,2025-11-29 00:00:03,34,CW
GX0FRE,G,EU,7046,40m,P3CR,5B,AS,CQ,14,2025-11-29 00:00:03,33,CW
OH4KA,OH,EU,7055.7,40m,CQ9A,CT3,AF,CQ,15,2025-11-29 00:00:03,42,CW
OH4KA,OH,EU,7014.7,40m,II1X,I,EU,CQ,17,2025-11-29 00:00:03,38,CW
LB9KJ,LA,EU,7019,40m,RM4F,UA,EU,CQ,15,2025-11-29 00:00:03,33,CW
LB9KJ,LA,EU,7055.7,40m,CQ9A,CT3,AF,CQ,15,2025-11-29 00:00:03,41,CW
F4BPO,F,EU,7050.4,40m,UA7K,UA,EU,CQ,9,2025-11-29 00:00:03,40,CW
LZ4UX,LZ,EU,7056.5,40m,UP4L,UN,AS,CQ,9,2025-11-29 00:00:03,30,CW
LZ4UX,LZ,EU,7006,40m,IK2PFL,I,EU,CQ,7,2025-11-29 00:00:03,32,CW
OZ1AAB,OZ,EU,7055.7,40m,CQ9A,CT3,AF,CQ,16,2025-11-29 00:00:04,41,CW
N2YCH,K,NA,7022.5,40m,OK1Z,OK,EU,CQ,24,2025-11-29 00:00:04,34,CW
N2YCH,K,NA,7014.7,40m,II1X,I,EU,CQ,30,2025-11-29 00:00:04,33,CW
N2YCH,K,NA,7014,40m,IS0AFM,IS,EU,CQ,21,2025-11-29 00:00:04,35,CW
KD7EFG,K,NA,7005.7,40m,KC9RFV,K,NA,CQ,18,2025-11-29 00:00:04,20,CW
KD7EFG,K,NA,7034.7,40m,KP2M,KP2,NA,CQ,31,2025-11-29 00:00:04,35,CW
KW7MM-2,K,NA,7050.4,40m,UA7K,UA,EU,CQ,31,2025-11-29 00:00:04,40,CW
KW7MM-2,K,NA,7034.7,40m,KP2M,KP2,NA,CQ,33,2025-11-29 00:00:04,37,CW
TK0C-7,TK,EU,7056.6,40m,UP4L,UN,AS,CQ,41,2025-11-29 00:00:04,29,CW
TK0C-7,TK,EU,7031.1,40m,HA8TA,HA,EU,CQ,16,2025-11-29 00:00:04,35,CW
TK0C-7,TK,EU,7049.4,40m,N3AL,K,NA,CQ,36,2025-11-29 00:00:04,31,CW
K3PA-1,K,NA,7034.7,40m,KP2M,KP2,NA,CQ,31,2025-11-29 00:00:04,38,CW
HA1VHF,HA,EU,7055.7,40m,CQ9A,CT3,AF,CQ,36,2025-11-29 00:00:04,42,CW
HA1VHF,HA,EU,7045.9,40m,P3CR,5B,AS,CQ,30,2025-11-29 00:00:04,33,CW
HA1VHF,HA,EU,7030.2,40m,M6T,G,EU,CQ,16,2025-11-29 00:00:04,39,CW
KM3T-3,K,NA,7014.7,40m,II1X,I,EU,CQ,25,2025-11-29 00:00:04,36,CW
KM3T-3,K,NA,7022.5,40m,OK1Z,OK,EU,CQ,16,2025-11-29 00:00:04,34,CW
KM3T-3,K,NA,7055.7,40m,CQ9A,CT3,AF,CQ,16,2025-11-29 00:00:04,41,CW
KM3T-3,K,NA,7049.4,40m,N3RS,K,NA,CQ,44,2025-11-29 00:00:04,33,CW
KM3T-3,K,NA,7033.1,40m,RL3A,UA,EU,CQ,14,2025-11-29 00:00:04,38,CW
W6YX,K,NA,7034.7,40m,KP2M,KP2,NA,CQ,25,2025-11-29 00:00:04,38,CW
W6YX,K,NA,7021.7,40m,N3RD,K,NA,CQ,29,2025-11-29 00:00:04,29,CW
W6YX,K,NA,7004.5,40m,WY3A,K,NA,CQ,25,2025-11-29 00:00:04,33,CW
W6YX,K,NA,7006,40m,IK2PENL,I,EU,CQ,21,2025-11-29 00:00:04,30,CW
F6IIT,F,EU,7056.5,40m,UP4L,UN,AS,CQ,44,2025-11-29 00:00:04,30,CW
F6IIT,F,EU,7045.9,40m,P3CR,5B,AS,CQ,14,2025-11-29 00:00:04,34,CW
F6IIT,F,EU,7020.1,40m,OM7M,OM,EU,CQ,35,2025-11-29 00:00:04,33,CW
NN3RP,K,NA,7055.7,40m,CQ9A,CT3,AF,CQ,17,2025-11-29 00:00:04,39,CW
NN3RP,K,NA,7022.5,40m,OK1Z,OK,EU,CQ,11,2025-11-29 00:00:04,35,CW
NN3RP,K,NA,7034.8,40m,KP2M,KP2,NA,CQ,29,2025-11-29 00:00:04,38,CW
NN3RP,K,NA,7009.3,40m,NR4M,K,NA,CQ,19,2025-11-29 00:00:04,34,CW
NN3RP,K,NA,7045.7,40m,IB9T,IT9,EU,CQ,12,2025-11-29 00:00:04,32,CW
DO4DXA,DL,EU,7056.5,40m,UP4L,UN,AS,CQ,22,2025-11-29 00:00:04,29,CW
DO4DXA,DL,EU,7046,40m,P3CR,5B,AS,CQ,25,2025-11-29 00:00:04,34,CW
DO4DXA,DL,EU,7024.5,40m,KB4DX,K,NA,CQ,20,2025-11-29 00:00:04,31,CW
CN3A,CN,AF,7056.6,40m,UP4L,UN,AS,CQ,36,2025-11-29 00:00:04,30,CW
SM0HRP/A,SM,EU,7038.4,40m,EW5A,EU,EU,CQ,31,2025-11-29 00:00:04,35,CW
KP3CW,KP4,NA,7055.7,40m,CQ9A,CT3,AF,CQ,19,2025-11-29 00:00:04,42,CW
KP3CW,KP4,NA,7022.5,40m,OK1Z,OK,EU,CQ,18,2025-11-29 00:00:04,35,CW
KP3CW,KP4,NA,7014.7,40m,II1X,I,EU,CQ,18,2025-11-29 00:00:04,36,CW
JH4UTP,JA,AS,7007,40m,JA1LNQ,JA,AS,CQ,10,2025-11-29 00:00:04,22,CW
PI4CC,PA,EU,7029.7,40m,II9P,IT9,EU,CQ,48,2025-11-29 00:00:05,33,CW
OK1FCJ,OK,EU,7021.7,40m,N3RD,K,NA,CQ,20,2025-11-29 00:00:05,29,CW
DF7GB,DL,EU,7021.7,40m,N3RD,K,NA,CQ,20,2025-11-29 00:00:05,29,CW
KC4YVA,K,NA,7021.7,40m,N3RD,K,NA,CQ,16,2025-11-29 00:00:05,28,CW
KC4YVA,K,NA,7013.5,40m,EF8R,EA8,AF,CQ,5,2025-11-29 00:00:05,38,CW
N2CR,K,NA,7014.7,40m,II1X,I,EU,CQ,15,2025-11-29 00:00:05,37,CW
DM6EE,DL,EU,7055.7,40m,CQ9A,CT3,AF,CQ,17,2025-11-29 00:00:05,41,CW
DM6EE,DL,EU,7056.5,40m,UP4L,UN,AS,CQ,16,2025-11-29 00:00:05,30,CW
OK2ZAW,OK,EU,7046,40m,P3CR,5B,AS,CQ,12,2025-11-29 00:00:05,33,CW
OK2ZAW,OK,EU,7011.3,40m,S52AW,S5,EU,CQ,7,2025-11-29 00:00:05,37,CW
NG7M,K,NA,7004.5,40m,WY3A,K,NA,CQ,12,2025-11-29 00:00:05,33,CW
HB9TSU,HB,EU,7004,40m,P3CR,5B,AS,CQ,16,2025-11-29 00:00:05,32,CW
HB9TSU,HB,EU,7015.3,40m,KP2M,KP2,NA,CQ,29,2025-11-29 00:00:05,39,CW
HB9TSU,HB,EU,7004.3,40m,IB9T,IT9,EU,CQ,19,2025-11-29 00:00:05,33,CW
ES2RR,ES,EU,7046,40m,P3CR,5B,AS,CQ,12,2025-11-29 00:00:06,34,CW
ES2RR,ES,EU,7021.7,40m,N3RD,K,NA,CQ,12,2025-11-29 00:00:06,29,CW
ES2RR,ES,EU,7014.7,40m,II1X,I,EU,CQ,29,2025-11-29 00:00:06,37,CW
NT6Q,K,NA,7034.7,40m,KP2M,KP2,NA,CQ,26,2025-11-29 00:00:06,37,CW
NT6Q,K,NA,7027.3,40m,VE3OMV,VE,NA,CQ,14,2025-11-29 00:00:06,27,CW
K2PO/7,K,NA,7014.7,40m,II1X,I,EU,CQ,20,2025-11-29 00:00:06,34,CW
OH2BBT,OH,EU,7030.2,40m,M6T,G,EU,CQ,19,2025-11-29 00:00:06,41,CW
OH2BBT,OH,EU,7020.9,40m,EA1NT,EA,EU,CQ,15,2025-11-29 00:00:06,36,CW
DK9IP,DL,EU,7001.8,40m,RW4W,UA,EU,CQ,11,2025-11-29 00:00:06,33,CW
DL1HWS,DL,EU,7015.2,40m,9A4M,9A,EU,CQ,20,2025-11-29 00:00:07,40,CW
K6FOD,K,NA,7032.8,40m,ED1R,EA,EU,CQ,10,2025-11-29 00:00:07,36,CW
K6FOD,K,NA,7015.2,40m,9A4M,9A,EU,CQ,13,2025-11-29 00:00:07,38,CW
K6FOD,K,NA,7005.7,40m,KC9RFV,K,NA,CQ,7,2025-11-29 00:00:07,20,CW
K6FOD,K,NA,7004.5,40m,WY3A,K,NA,CQ,19,2025-11-29 00:00:07,34,CW
ND7K,K,NA,7014.7,40m,II1X,I,EU,CQ,29,2025-11-29 00:00:07,37,CW
W8WTS,K,NA,7022.5,40m,OK1Z,OK,EU,CQ,19,2025-11-29 00:00:07,35,CW
W8WTS,K,NA,7050.4,40m,UA7K,UA,EU,CQ,27,2025-11-29 00:00:07,38,CW
W8WTS,K,NA,7045.7,40m,IB9T,IT9,EU,CQ,22,2025-11-29 00:00:07,32,CW
TK0C,TK,EU,7001.8,40m,RW4W,UA,EU,CQ,19,2025-11-29 00:00:07,34,CW
TK0C,TK,EU,7026.2,40m,IU8RIA,I,EU,CQ,23,2025-11-29 00:00:07,30,CW
YO5LD,YO,EU,7045.7,40m,IB9T,IT9,EU,CQ,19,2025-11-29 00:00:07,32,CW
G4IRN,G,EU,7046,40m,P3CR,5B,AS,CQ,17,2025-11-29 00:00:07,33,CW
G4IRN,G,EU,7019,40m,RM4F,UA,EU,CQ,39,2025-11-29 00:00:07,34,CW
G4IRN,G,EU,7036.5,40m,IB9R,IT9,EU,CQ,30,2025-11-29 00:00:07,33,CW
G4IRN,G,EU,7066,40m,YU5R,YU,EU,CQ,16,2025-11-29 00:00:07,34,CW
SQ5J,SP,EU,7010.8,40m,LZ5R,LZ,EU,CQ,21,2025-11-29 00:00:07,32,CW
SQ5J,SP,EU,7018.3,40m,RC6U,UA,EU,CQ,32,2025-11-29 00:00:07,38,CW
SQ5J,SP,EU,7009.3,40m,NR4M,K,NA,CQ,26,2025-11-29 00:00:07,35,CW
SQ5J,SP,EU,7015.2,40m,9A4M,9A,EU,CQ,17,2025-11-29 00:00:07,37,CW
KW7MM,K,NA,7034.7,40m,KP2M,KP2,NA,CQ,25,2025-11-29 00:00:07,37,CW
KW7MM,K,NA,7031.6,40m,LZ9W,LZ,EU,CQ,16,2025-11-29 00:00:07,30,CW
KW7MM,K,NA,7004.2,40m,IC8JOH,I,EU,CQ,13,2025-11-29 00:00:07,28,CW
N9CO,K,NA,7021.7,40m,N3RD,K,NA,CQ,27,2025-11-29 00:00:07,29,CW
EY8ZE,EY,AS,7003.3,40m,BG0DLA,BY,AS,CQ,12,2025-11-29 00:00:07,30,CW
EY8ZE,EY,AS,7066,40m,YU5R,YU,EU,CQ,5,2025-11-29 00:00:07,34,CW
W4KAZ,K,NA,7026.2,40m,IU8RIA,I,EU,CQ,3,2025-11-29 00:00:07,30,CW
K7CO,K,NA,7021.7,40m,N3RD,K,NA,CQ,27,2025-11-29 00:00:07,29,CW
K7CO,K,NA,7005.7,40m,KC9RFV,K,NA,CQ,14,2025-11-29 00:00:07,20,CW
K7CO,K,NA,7015.5,40m,IO4M,I,EU,CQ,19,2025-11-29 00:00:07,30,CW
